FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,DATE_CREATED,DATE_EDITED
373761,Lower Granite Lake,Reservoir,WA,53,Whitman,075,463938N,1172541W,46.6604369,-117.4279602,225,738,06/21/1979,""
1118771,Lake Celilo,Reservoir,WA,53,Klickitat,039,453914N,1210133W,45.6540029,-121.0259023,49,161,11/28/1980,07/17/2019
1502936,Adams Lake,Lake,WA,53,Adams,001,470438N,1180147W,47.0772544,-118.0296048,509,1670,09/10/1979,03/20/2019
1502986,Alkali Lake,Lake,WA,53,Whitman,075,470703N,1174635W,47.1176098,-117.7763631,545,1788,09/10/1979,03/21/2019
1502987,Alkali Lake,Lake,WA,53,Whitman,075,471005N,1174243W,47.1680245,-117.7119518,570,1870,09/10/1979,03/21/2019
1502988,Alkali Lake,Lake,WA,53,Adams,001,471423N,1175841W,47.2397349,-117.9781012,572,1877,09/10/1979,03/20/2019
1502989,Alkali Lake,Lake,WA,53,Okanogan,047,480745N,1191914W,48.1290399,-119.3205558,363,1191,09/10/1979,05/03/2019
1502990,Alkali Lake,Lake,WA,53,Spokane,063,472232N,1174214W,47.3754279,-117.7037989,692,2270,09/10/1979,03/20/2019
1502991,Alkali Wells,Lake,WA,53,Douglas,017,475037N,1193908W,47.8435932,-119.652115,669,2195,09/10/1979,05/03/2019
1503013,Amber Lake,Lake,WA,53,Spokane,063,472054N,1174240W,47.3483923,-117.7110627,661,2169,09/10/1979,03/20/2019
1503014,American Lake,Lake,WA,53,Pierce,053,470747N,1223347W,47.1298577,-122.5630201,73,239,09/10/1979,05/17/2019
1503015,Ames Lake,Lake,WA,53,Lincoln,043,472247N,1175210W,47.3797682,-117.8694351,667,2188,09/10/1979,03/20/2019
1503016,Ames Lake,Lake,WA,53,King,033,473825N,1215732W,47.6403102,-121.9589924,73,239,09/10/1979,05/14/2019
1503023,Ancient Lake,Lake,WA,53,Grant,025,470902N,1195642W,47.1506843,-119.9450609,252,827,09/10/1979,05/04/2019
1503037,Angle Lake,Lake,WA,53,King,033,472541N,1221709W,47.4281723,-122.2858046,107,351,09/10/1979,05/15/2019
1503043,Apex Lake,Lake,WA,53,Ferry,019,481431N,1181249W,48.2419143,-118.2135053,623,2044,09/10/1979,06/26/2019
1503047,Arbor Lake,Lake,WA,53,King,033,472935N,1221947W,47.4929389,-122.3297289,111,364,09/10/1979,05/17/2019
1503066,Arrow Lake,Lake,WA,53,King,033,472536N,1222019W,47.4266792,-122.3385873,80,262,09/10/1979,05/17/2019
1503070,Artesian Lake,Lake,WA,53,Grant,025,471506N,1191108W,47.2516009,-119.185566,378,1240,09/10/1979,05/07/2019
1503073,Ashes Lake,Lake,WA,53,Skamania,059,454026N,1215448W,45.6738609,-121.913236,28,92,09/10/1979,06/30/2021
1503077,Atkins Lake,Lake,WA,53,Douglas,017,473711N,1192843W,47.6196273,-119.4787211,722,2369,09/10/1979,05/06/2019
1503092,Babcock Ridge Lake,Lake,WA,53,Grant,025,471408N,1195531W,47.2356478,-119.9253352,388,1273,09/10/1979,05/07/2019
1503097,Bachelor Island Slough,Lake,WA,53,Clark,011,454828N,1224548W,45.8078534,-122.7632243,5,16,09/10/1979,04/03/2019
1503100,Back Lake,Lake,WA,53,Adams,001,470556N,1175914W,47.098833,-117.9873003,503,1650,09/10/1979,03/21/2019
1503109,Badger Lake,Lake,WA,53,Spokane,063,472101N,1173744W,47.3503982,-117.6287827,664,2178,09/10/1979,03/20/2019
1503116,Badlands Lakes,Lake,WA,53,Benton,005,461644N,1193556W,46.2788071,-119.5989014,257,843,09/10/1979,03/19/2019
1503120,Bailey Lake,Lake,WA,53,Spokane,063,475842N,1172238W,47.978358,-117.3772925,579,1900,09/10/1979,05/14/2019
1503124,Bailie Pond,Lake,WA,53,Franklin,021,463545N,1190004W,46.5959317,-119.0010585,266,873,09/10/1979,05/07/2019
1503132,Baker Pond,Lake,WA,53,Garfield,023,461734N,1173248W,46.2927696,-117.5467991,1227,4026,09/10/1979,03/19/2019
1503135,Baker Reservoir,Reservoir,WA,53,Whatcom,073,484103N,1224013W,48.6842506,-122.6702964,129,423,09/10/1979,04/17/2019
1503137,Balch Lake,Lake,WA,53,Klickitat,039,454302N,1211915W,45.7170917,-121.3208956,181,594,09/10/1979,09/29/2020
1503152,Ballinger Lake,Lake,WA,53,Spokane,063,472447N,1173815W,47.4131175,-117.6376313,702,2303,09/10/1979,03/20/2019
1503164,Baring Lake,Lake,WA,53,Lincoln,043,473957N,1183357W,47.6658668,-118.5658926,675,2215,09/10/1979,05/06/2019
1503167,Barker Canyon Lake,Lake,WA,53,Douglas,017,475519N,1191007W,47.9220474,-119.1685329,524,1719,09/10/1979,05/07/2019
1503180,Barnes Lake,Lake,WA,53,Thurston,067,470014N,1225458W,47.0038909,-122.9160738,48,157,09/10/1979,05/16/2019
1503184,Barney Lake,Lake,WA,53,Skagit,057,482651N,1221710W,48.4475005,-122.2860497,7,23,09/10/1979,05/14/2019
1503189,Barrett Lake,Reservoir,WA,53,Whatcom,073,485053N,1223330W,48.8481251,-122.5584283,7,23,09/10/1979,04/21/2019
1503193,Bass Lake,Lake,WA,53,Skamania,059,453904N,1215659W,45.6510963,-121.9496166,21,69,09/10/1979,03/25/2020
1503198,Batt Slough,Lake,WA,53,Snohomish,061,475332N,1220603W,47.892218,-122.1009142,4,13,09/10/1979,05/14/2019
1503209,Bay Lake,Lake,WA,53,Pierce,053,471439N,1224529W,47.244206,-122.7579453,10,33,09/10/1979,05/17/2019
1503236,Bear Lake,Lake,WA,53,Kitsap,035,472644N,1224450W,47.4454889,-122.7472265,120,394,09/10/1979,05/17/2019
1503237,Bear Lake,Lake,WA,53,Spokane,063,475532N,1172119W,47.9254314,-117.3551454,567,1860,09/10/1979,05/14/2019
1503238,Bear Lake,Lake,WA,53,Whatcom,073,485640N,1211842W,48.9445013,-121.3117787,1766,5794,09/10/1979,04/17/2019
1503261,Beaver Lake,Lake,WA,53,Skagit,057,482656N,1221308W,48.4488117,-122.2187612,11,36,09/10/1979,05/14/2019
1503262,Beaver Lake,Lake,WA,53,Columbia,013,461701N,1173915W,46.2835406,-117.6542382,729,2392,09/10/1979,03/20/2019
1503271,Bedar Lake,Lake,WA,53,Okanogan,047,480706N,1193114W,48.1182162,-119.520463,747,2451,09/10/1979,05/03/2019
1503274,Lake Beds,Lake,WA,53,Klickitat,039,460032N,1205014W,46.0090133,-120.8372895,1670,5479,09/10/1979,""
1503276,Lake Beecher,Lake,WA,53,Snohomish,061,475105N,1220524W,47.8513485,-122.090066,5,16,09/10/1979,11/18/2020
1503285,Bell Lake,Lake,WA,53,Adams,001,464926N,1181624W,46.823969,-118.2734371,448,1470,09/10/1979,05/07/2019
1503300,Bender Lake,Lake,WA,53,Lincoln,043,474444N,1185135W,47.745553,-118.8598167,608,1995,09/10/1979,05/06/2019
1503303,Benjamin Lake,Lake,WA,53,Stevens,065,475138N,1180024W,47.860663,-118.0065974,690,2264,09/10/1979,05/14/2019
1503304,Bennett Lake,Lake,WA,53,Douglas,017,474251N,1193629W,47.7142202,-119.6079254,556,1824,09/10/1979,05/06/2019
1503305,Bennett Lake,Lake,WA,53,Douglas,017,474456N,1192507W,47.7488379,-119.4186705,661,2169,09/10/1979,05/06/2019
1503309,Benson Lake,Lake,WA,53,Mason,045,472013N,1225529W,47.3368286,-122.924596,71,233,09/10/1979,05/17/2019
1503322,Berry Lake,Lake,WA,53,Whitman,075,471041N,1175718W,47.1779424,-117.9550538,575,1886,09/10/1979,03/21/2019
1503323,Berry Lakes,Lake,WA,53,Kitsap,035,473032N,1223928W,47.5088074,-122.6577014,60,197,09/10/1979,05/17/2019
1503350,Big Joes Lake,Lake,WA,53,Clallam,009,480400N,1243059W,48.0666442,-124.5163931,47,154,09/10/1979,04/09/2019
1503351,Big Lake,Lake,WA,53,Whitman,075,471434N,1175211W,47.242769,-117.869655,610,2001,09/10/1979,03/21/2019
1503352,Big Lake,Lake,WA,53,Skagit,057,482254N,1221348W,48.3815644,-122.2299996,26,85,09/10/1979,05/14/2019
1503368,Bigelow Lake,Lake,WA,53,Thurston,067,470331N,1225203W,47.0584868,-122.8676063,50,164,09/10/1979,05/17/2019
1503374,Billy Clapp Lake,Reservoir,WA,53,Grant,025,472711N,1191452W,47.45308,-119.2478696,408,1339,09/10/1979,05/07/2019
1503377,Bingaman Pond,Lake,WA,53,King,033,472053N,1221652W,47.3480387,-122.28123,89,292,09/10/1979,05/15/2019
1503393,Bitter Lake,Lake,WA,53,King,033,474336N,1222108W,47.7266234,-122.3523517,134,440,09/10/1979,05/15/2019
1503401,Black Diamond Lake,Lake,WA,53,King,033,471751N,1220103W,47.2974706,-122.0176354,166,545,09/10/1979,05/15/2019
1503404,Black Lake,Lake,WA,53,Adams,001,465436N,1191714W,46.9098934,-119.2873213,241,791,09/10/1979,05/07/2019
1503405,Black Lake,Lake,WA,53,Grant,025,471530N,1191023W,47.2583989,-119.1729283,378,1240,09/10/1979,05/07/2019
1503406,Black Lake,Lake,WA,53,Douglas,017,480644N,1190525W,48.1121639,-119.0901966,597,1959,09/10/1979,05/03/2019
1503407,Black Lake,Lake,WA,53,Thurston,067,465932N,1225841W,46.9923607,-122.978018,41,135,09/10/1979,04/09/2019
1503413,Black Rock Lake,Lake,WA,53,Grant,025,471745N,1190338W,47.2959531,-119.0605043,416,1365,09/10/1979,05/07/2019
1503451,Blue Lake,Lake,WA,53,Columbia,013,461926N,1174015W,46.3238808,-117.6709106,653,2142,09/10/1979,03/19/2019
1503452,Blue Lake,Lake,WA,53,Grant,025,473402N,1192639W,47.5672783,-119.4440658,334,1096,09/10/1979,05/07/2019
1503453,Blue Lakes,Lake,WA,53,Skamania,059,454025N,1215555W,45.6736659,-121.9319847,112,367,09/10/1979,03/31/2017
1503461,Bluff Lake,Lake,WA,53,Grant,025,473129N,1192808W,47.5247785,-119.4688415,439,1440,09/10/1979,05/07/2019
1503463,Blythe Lake,Lake,WA,53,Grant,025,465731N,1191709W,46.9586771,-119.285892,278,912,09/10/1979,05/07/2019
1503475,Bonney Lake,Lake,WA,53,Pierce,053,471120N,1221109W,47.189006,-122.1857755,186,610,09/10/1979,05/18/2019
1503476,Bonnie Lake,Lake,WA,53,Spokane,063,471652N,1173333W,47.2811526,-117.559212,547,1795,09/10/1979,03/21/2019
1503483,Lake Boren,Lake,WA,53,King,033,473158N,1220955W,47.5327051,-122.1652512,118,387,09/10/1979,05/15/2019
1503484,Bourgeau Lake,Lake,WA,53,Ferry,019,481353N,1181301W,48.2313699,-118.2169257,584,1916,09/10/1979,06/26/2019
1503485,Bos Lake,Lake,WA,53,Yakima,077,461521N,1200337W,46.2557516,-120.0602172,204,669,09/10/1979,03/19/2019
1503489,Bottomless Lake,Lake,WA,53,Skagit,057,483152N,1221339W,48.5312449,-122.2275359,56,184,09/10/1979,04/17/2019
1503499,Bower Slough,Lake,WA,53,Clark,011,454754N,1224536W,45.7984141,-122.7599891,3,10,09/10/1979,04/03/2019
1503504,Bowles Lakes,Lake,WA,53,Skamania,059,454045N,1215536W,45.6791148,-121.9265321,136,446,09/10/1979,06/30/2021
